date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:55	54174/54174	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631804fd-d39e%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/js/plugins2.js	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/js/plugins2.js	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:49:04	578787/578787	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631804fe-8d4e3%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/js/plugins.js	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/js/plugins.js	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:49:06	68875/68875	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22631804e4-10d0b%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont.eot?v=4.4.0	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont93e3.eot	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:06	64464/64464	---M--	200	added ('OK')	font/woff2	etag:%22631804e4-fbd0%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont.woff2?v=4.4.0	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont93e3.woff2	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:06	68875/68875	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22631804e4-10d0b%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont.eot?	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfontd41d.eot	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:09	1362/1362	---M--	200	added ('OK')	image/png	etag:%22631804e5-552%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/fancybox_sprite.png	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/fancybox_sprite.png	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:10	355981/355981	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22631804e3-56e8d%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont.svg?v=4.4.0	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/fonts/fontawesome-webfont93e3.svg	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:11	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jun%202024%2009:03:26%20GMT	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/blank.gif	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/blank.gif	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:11	6567/6567	---M--	200	added ('OK')	image/gif	etag:%22631804e6-19a7%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/fancybox_loading.gif	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/fancybox_loading.gif	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
14:49:11	1003/1003	---M--	200	added ('OK')	image/png	etag:%22631804e5-3eb%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/fancybox_overlay.png	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/fancybox_overlay.png	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css)
